URL,Title,Year,Make,Model,VIN,Odometer,Vehicle Type,BID,document,Image URLs
https://www.rbauction.com/2008-international-mxt-4x4-crew-cab-pickup?invId=14008454&id=ci&auction=montreal-qc-2023237,2008 International MXT 4x4 Crew Cab Pickup,2008,International,MXT,5RJSXAFH28W648009,"172,022 km",Pickup,"$42,000 CAD",https://cdn.ironpla.net/inspection/D13-1+Rapport+Diagnostic+-+Diagnostic+Report_13600852.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13600/852/1fd871c9-4404-4f3c-a6e1-4031ea45203e-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13600/852/cc2ba3a5-25d6-4b03-a706-dcffccdd1ea9-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13600/852/02ebcd1a-9ab5-484f-9adc-b9a00becac04-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13600/852/d3a042d1-df7a-4025-92ca-cae6e509f11d-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13600/852/1fd871c9-4404-4f3c-a6e1-4031ea45203e-hr.jpg""]"
https://www.rbauction.com/2012-fleetwood-bounder-35k-motor-home?invId=14020776&id=ci&auction=montreal-qc-2023237,2012 Fleetwood Bounder 35K Motor Home,2012,Fleetwood,Bounder 35K,1F66F5DY5C0A04364,"51,033 km",Motor Home,"$33,000 CAD",https://cdn.ironpla.net/inspection/D17-2+CARFAX_13651164.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13651/164/affc3d37-3570-4c1c-942c-ed3f11e67cb4-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13651/164/affc3d37-3570-4c1c-942c-ed3f11e67cb4-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13651/164/5d38b8d8-ed2c-41ee-8382-0135dff1e0d7-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13651/164/61c0dee2-5bd7-4bd2-8742-bf7154f02bd3-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13651/164/08f96b10-ee01-4b0d-986e-ca6046de3505-med.jpg""]"
https://www.rbauction.com/2008-international-rxt-4x2-crew-cab-pickup?invId=14015555&id=ci&auction=montreal-qc-2023237,2008 International RXT 4x2 Crew Cab Pickup,2008,International,RXT,3HRSUAZK48N575334,"121,095 km",Pickup,"$61,000 CAD",,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13630/376/6103c259-6bd3-4e2a-bf3a-57f10e5fe7b7-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13630/376/6103c259-6bd3-4e2a-bf3a-57f10e5fe7b7-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13630/376/6aaa0da3-e37d-48e8-9ff1-a97d855283f9-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13630/376/a4d7f5bd-e3c2-4e37-89fe-8d973d18bb34-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13630/376/d7d614b5-88eb-4628-b965-461acaa982d2-med.jpg""]"
https://www.rbauction.com/2021-ford-ranger-xlt-4x4-extended-cab-pickup?invId=13946804&id=ci&auction=montreal-qc-2023237,2021 Ford Ranger XLT 4x4 Extended Cab Pickup,2021,Ford,Ranger XLT,1FTER4FH5MLD57467,"36,554 km",Pickup,,https://cdn.ironpla.net/inspection/S01-46+CARFAX_13210147.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/147/01c80e34-c881-4de1-b8ee-0ffad3ad0899-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/147/92020060-a772-4616-bc8d-dd1012d1ac58-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/147/5fc55cfc-4c20-4da5-92c3-31cadde4d964-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/147/d86423f9-44eb-4fcd-9bb5-cebe6f0eae04-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/147/c57169e7-abd1-452d-8412-58dc9c439c2b-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/147/2678248d-a3f7-4ffb-af26-d71f185d8514-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/147/ade1ee17-dff9-481d-a0b0-0c34ddafbce3-hr.jpg""]"
https://www.rbauction.com/2020-ford-f-150-xlt-4x4-crew-cab-pickup?invId=13946798&id=ci&auction=montreal-qc-2023237,2020 Ford F-150 XLT 4x4 Crew Cab Pickup,2020,Ford,F-150,1FTFW1E58LKD84511,"74,801 km",Pickup,"$23,500 CAD",https://cdn.ironpla.net/inspection/S01-41+CARFAX_13210142.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/142/7b3c855c-ec60-4acc-b5c5-b977991b4221-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/142/31bbf730-795e-44f2-acb8-342696684e06-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/142/b385451b-46dd-4628-8afa-059ee3325fce-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/142/59cce2ad-e038-4e76-9f00-89df1b3e98ef-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/142/c124236d-47b2-411a-8d72-912415899b29-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/142/c84fd5cc-fa88-4592-aa86-2de35d67ce61-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/142/81c40bab-3fa9-484b-b4b9-0932d70f3d4b-hr.jpg""]"
https://www.rbauction.com/2008-four-winds-presidio-motor-home?invId=14027958&id=ci&auction=montreal-qc-2023237,2008 Four Winds presidio Motor Home,2008,Four Winds,presidio,4UZAB2CY88CAA5186,"156,649 km",Motor Home,"$43,000 CAD",https://cdn.ironpla.net/inspection/C20-1+CARFAX_13673559.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13673/559/cdeb02c1-a909-4117-b1b2-42c507ba5333-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13673/559/846368b6-31b3-483d-a84d-acc9829ff920-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13673/559/e8353c1f-8655-4420-9e41-ba3fad31fc69-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13673/559/578c9e34-9bbf-47b8-923c-95d4304e9b0a-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13673/559/74059cbf-98be-4732-a155-be8d1afdccd7-med.jpg""]"
https://www.rbauction.com/2019-ford-f-150-xlt-4x4-crew-cab-pickup?invId=13946796&id=ci&auction=montreal-qc-2023237,2019 Ford F-150 XLT 4x4 Crew Cab Pickup,2019,Ford,F-150,1FTFW1E4XKFC63574,"93,972 km",Pickup,"$23,000 CAD",https://cdn.ironpla.net/inspection/S01-39+CARFAX_13210139.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/139/37436518-43a1-4ec6-b728-8040a0acb86b-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/139/e9dee6ba-eabd-4bf1-a590-7a9fdc410b01-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/139/e678384c-3537-4327-9240-f50d11f50c98-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/139/810fb2ea-5f5a-4212-9c20-b18828fa0a23-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/139/bd1b54b9-bfbe-4b0c-b83a-0cd6723c5879-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/139/cc7be54f-7581-4913-8e90-071e180c0a36-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/139/70235966-c0e2-42b7-9541-54c714b97170-hr.jpg""]"
https://www.rbauction.com/2019-ford-f-150-xlt-4x4-crew-cab-pickup?invId=13946800&id=ci&auction=montreal-qc-2023237,2019 Ford F-150 XLT 4x4 Crew Cab Pickup,2019,Ford,F-150,1FTFW1E53KKE19373,"102,624 km",Pickup,"$23,000 CAD",https://cdn.ironpla.net/inspection/S01-38+CARFAX_13210138.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/138/70589635-2d74-4b4d-9c62-a28df0ad742f-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/138/ae548fff-a99c-4e05-8367-51c6fc96ed3c-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/138/195da599-6b24-4084-8f9d-9837d5dcf3da-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/138/a393e8ab-7ee3-48d4-9885-bbfd789f2139-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/138/81b0f2de-6161-4318-873b-8f46483536ad-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/138/1f05837f-aa49-4c8e-9d5a-d1391144c52d-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/138/06c1d240-dbe9-469c-9a52-6eaa72231840-hr.jpg""]"
https://www.rbauction.com/2019-ford-ranger-xlt-4x4-crew-cab-pickup?invId=13946807&id=ci&auction=montreal-qc-2023237,2019 Ford Ranger XLT 4x4 Crew Cab Pickup,2019,Ford,Ranger,1FTER4FH7KLA43123,"56,637 km",Pickup,"$24,500 CAD",https://cdn.ironpla.net/inspection/S01-45+CARFAX_13210146.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/146/be04a3d9-972f-4350-b5fa-377bba608381-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/146/71d6d8ef-0c91-48e7-96bc-7a57ab4aab01-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/146/d899ad80-046f-4938-a2d7-ccdd73aa9492-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/146/7fae4049-18b5-4d09-a73c-a63ce5e7ef5e-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/146/01ca59e3-aa69-48c7-a258-090e640f78b0-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/146/5ae30d0a-b006-490e-bcc6-722a688b71a7-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/146/d5d3b451-a3b2-4481-b72c-63a4f143c084-hr.jpg""]"
https://www.rbauction.com/2018-ford-f-150-xlt-4x4-crew-cab-pickup?invId=13946797&id=ci&auction=montreal-qc-2023237,2018 Ford F-150 XLT 4x4 Crew Cab Pickup,2018,Ford,F-150,1FTFW1EG6JKD90533,"97,343 km",Pickup,"$20,500 CAD",https://cdn.ironpla.net/inspection/S01-44+CARFAX_13210145.pdf,"[""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/145/2233b290-a839-436e-8182-3e0ba15aec95-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/145/bb25dd83-bb5d-4157-9b6e-7ec120676693-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/145/6af80821-5dd6-464f-9d9c-0c5b70413766-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/145/1426452b-4741-4f95-aef5-25518893949d-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/145/8b9e4ab8-56a7-4fe7-8ac6-d3a1c80a93bc-med.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/145/5025c042-9cfa-4a08-9945-daf34107af10-hr.jpg"", ""https://www-ironplanet.s3-us-west-2.amazonaws.com/i/13210/145/6ec2d273-07ae-4c4a-8cce-4b29b22abbe8-hr.jpg""]"
